 IPMSB_GD_R102        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Board Outline Contour             INCH units               16-Oct-2010 11:01

 User Datum  X  9.600,  Y  0.000,  Rotation 270.0

      X           Y         Radius

    0.000       9.440       0.000
    0.000       0.160       0.000
    0.000       0.160       0.000
    0.021       0.080       0.000
    0.080       0.021       0.000
    0.160       0.000       0.000
    9.440       0.000       0.000
    9.440       0.000       0.000
    9.520       0.021       0.000
    9.579       0.080       0.000
    9.600       0.160       0.000
    9.600       9.440       0.000
    9.600       9.440       0.000
    9.579       9.520       0.000
    9.520       9.579       0.000
    9.440       9.600       0.000
    0.160       9.600       0.000
    0.160       9.600       0.000
    0.080       9.579       0.000
    0.021       9.520       0.000
    0.000       9.440       0.000

